timestamp,tempC,hum%
2020-01-24 07:37:02 , 25.0, 50.0
2020-01-24 07:38:03 , 25.0, 50.0
2020-01-24 07:39:02 , 25.0, 50.0
2020-01-24 07:40:02 , 25.0, 50.0
2020-01-24 07:41:02 , 25.0, 50.0
2020-01-24 07:42:02 , 25.0, 50.0
2020-01-24 07:43:03 , 25.0, 51.0
2020-01-24 07:44:01 , 25.0, 50.0
2020-01-24 07:45:03 , 25.0, 50.0
2020-01-24 07:46:02 , 25.0, 51.0
2020-01-24 07:47:02 , 25.0, 50.0
2020-01-24 07:48:03 , 25.0, 50.0
2020-01-24 07:49:02 , 25.0, 50.0
2020-01-24 07:50:02 , 25.0, 51.0
2020-01-24 07:51:03 , 25.0, 50.0
2020-01-24 07:52:02 , 25.0, 50.0
2020-01-24 07:53:02 , 25.0, 51.0
2020-01-24 07:54:03 , 25.0, 51.0
2020-01-24 07:55:03 , 25.0, 51.0
2020-01-24 07:56:02 , 25.0, 51.0
2020-01-24 07:57:02 , 25.0, 50.0
2020-01-24 07:58:03 , 25.0, 51.0
2020-01-24 07:59:02 , 25.0, 50.0
2020-01-24 08:00:02 , 25.0, 51.0
2020-01-24 08:01:02 , 25.0, 51.0
2020-01-24 08:02:02 , 25.0, 51.0
2020-01-24 08:03:02 , 25.0, 50.0
2020-01-24 08:04:03 , 25.0, 51.0
2020-01-24 08:05:02 , 25.0, 51.0
2020-01-24 08:06:03 , 25.0, 51.0
2020-01-24 08:07:02 , 25.0, 51.0
2020-01-24 08:08:03 , 25.0, 51.0
2020-01-24 08:09:02 , 25.0, 51.0
2020-01-24 08:10:02 , 25.0, 51.0
2020-01-24 08:11:02 , 25.0, 51.0
2020-01-24 08:12:02 , 25.0, 51.0
2020-01-24 08:13:02 , 25.0, 51.0
2020-01-24 08:14:02 , 25.0, 51.0
2020-01-24 08:15:02 , 25.0, 51.0,
2020-01-24 08:16:02 , 25.0, 51.0,
2020-01-24 08:17:02 , 25.0, 51.0,
2020-01-24 08:18:02 , 25.0, 51.0,
2020-01-24 08:19:01 , 24.0, 50.0,
2020-01-24 08:20:02 , 25.0, 51.0,
2020-01-24 08:21:02 , 25.0, 51.0,
2020-01-24 08:22:02 , 25.0, 51.0,
2020-01-24 08:23:03 , 25.0, 50.0,
2020-01-24 08:24:02 , 25.0, 50.0,
2020-01-24 08:25:02 , 25.0, 50.0,
2020-01-24 08:26:02 , 25.0, 50.0,
2020-01-24 08:27:02 , 25.0, 50.0,
2020-01-24 08:28:02 , 25.0, 50.0,
2020-01-24 08:29:02 , 25.0, 50.0,
2020-01-24 08:30:03 , 25.0, 50.0,
2020-01-24 08:31:02 , 25.0, 50.0,
2020-01-24 08:32:02 , 25.0, 50.0,
2020-01-24 08:33:02 , 25.0, 50.0,
2020-01-24 08:34:03 , 25.0, 50.0,
2020-01-24 08:35:02 , 25.0, 50.0,
2020-01-24 08:36:02 , 25.0, 50.0,
2020-01-24 08:37:02 , 25.0, 50.0,
2020-01-24 08:38:02 , 25.0, 50.0,
2020-01-24 08:39:02 , 25.0, 50.0,
2020-01-24 08:40:03 , 25.0, 50.0,
2020-01-24 08:41:02 , 25.0, 50.0,
2020-01-24 08:42:03 , 24.0, 50.0,
2020-01-24 08:43:02 , 25.0, 50.0,
2020-01-24 08:44:02 , 25.0, 50.0,
2020-01-24 08:45:02 , 24.0, 50.0,
2020-01-24 08:46:02 , 24.0, 50.0,
2020-01-24 08:47:02 , 24.0, 50.0,
2020-01-24 08:48:03 , 24.0, 50.0,
2020-01-24 08:49:02 , 24.0, 50.0,
2020-01-24 08:50:03 , 24.0, 50.0,
2020-01-24 08:51:01 , 24.0, 50.0,
2020-01-24 08:52:02 , 24.0, 50.0,
2020-01-24 08:53:02 , 24.0, 50.0,
2020-01-24 08:54:04 , 24.0, 50.0,
2020-01-24 08:55:02 , 24.0, 49.0,
2020-01-24 08:56:03 , 24.0, 49.0,
2020-01-24 08:57:02 , 24.0, 49.0,
2020-01-24 08:58:03 , 24.0, 49.0,
2020-01-24 08:59:02 , 24.0, 49.0,
2020-01-24 09:00:02 , 24.0, 49.0,
2020-01-24 09:01:03 , 24.0, 49.0,
2020-01-24 09:02:02 , 24.0, 49.0,
2020-01-24 09:03:01 , 24.0, 49.0,
2020-01-24 09:04:03 , 24.0, 49.0,
2020-01-24 09:05:03 , 24.0, 49.0,
2020-01-24 09:06:01 , 24.0, 48.0,
2020-01-24 09:07:03 , 24.0, 48.0,
2020-01-24 09:08:01 , 24.0, 48.0,
2020-01-24 09:09:03 , 24.0, 48.0,
2020-01-24 09:10:03 , 24.0, 48.0,
2020-01-24 09:11:03 , 24.0, 48.0,
2020-01-24 09:12:03 , 24.0, 48.0,
2020-01-24 09:13:03 , 24.0, 48.0,
2020-01-24 09:14:03 , 24.0, 48.0,
2020-01-24 09:15:02 , 24.0, 48.0,
2020-01-24 09:16:01 , 24.0, 48.0,
2020-01-24 09:17:03 , 24.0, 48.0,
2020-01-24 09:18:03 , 24.0, 48.0,
2020-01-24 09:19:02 , 24.0, 48.0,
2020-01-24 09:20:02 , 24.0, 48.0,
2020-01-24 09:21:03 , 24.0, 48.0,
2020-01-24 09:22:02 , 24.0, 47.0,
2020-01-24 09:23:02 , 24.0, 47.0,
2020-01-24 09:24:03 , 24.0, 47.0,
2020-01-24 09:25:02 , 24.0, 47.0,
2020-01-24 09:26:02 , 24.0, 47.0,
2020-01-24 09:27:03 , 24.0, 47.0,
2020-01-24 09:28:02 , 24.0, 47.0,
2020-01-24 09:29:03 , 24.0, 47.0,
2020-01-24 09:30:04 , 24.0, 47.0,
2020-01-24 09:31:02 , 24.0, 47.0,
2020-01-24 09:32:07 , 24.0, 47.0,
2020-01-24 09:33:02 , 24.0, 47.0,
2020-01-24 09:34:05 , 24.0, 46.0,
2020-01-24 09:35:02 , 24.0, 46.0,
2020-01-24 09:36:03 , 24.0, 46.0,
2020-01-24 09:37:02 , 24.0, 46.0,
2020-01-24 09:38:03 , 24.0, 46.0,
2020-01-24 09:39:05 , 24.0, 46.0,
2020-01-24 09:40:03 , 25.0, 46.0,
2020-01-24 09:41:02 , 25.0, 46.0,
2020-01-24 09:42:03 , 25.0, 46.0,
2020-01-24 09:43:02 , 24.0, 46.0,
2020-01-24 09:44:03 , 25.0, 46.0,
2020-01-24 09:45:02 , 25.0, 46.0,
2020-01-24 09:46:03 , 25.0, 46.0,
2020-01-24 09:47:05 , 25.0, 46.0,
2020-01-24 09:48:03 , 25.0, 45.0,
2020-01-24 09:49:04 , 24.0, 46.0,
2020-01-24 09:50:02 , 24.0, 45.0,
2020-01-24 09:51:03 , 25.0, 45.0,
2020-01-24 09:52:02 , 25.0, 46.0,
2020-01-24 09:53:03 , 24.0, 45.0,
2020-01-24 09:54:02 , 24.0, 45.0,
2020-01-24 09:55:03 , 24.0, 45.0,
2020-01-24 09:56:02 , 25.0, 45.0,
2020-01-24 09:57:02 , 25.0, 45.0,
2020-01-24 09:58:02 , 25.0, 45.0,
2020-01-24 09:59:02 , 24.0, 45.0,
2020-01-24 10:00:03 , 25.0, 45.0,
2020-01-24 10:01:05 , 25.0, 45.0,
2020-01-24 10:02:03 , 25.0, 45.0,
2020-01-24 10:03:02 , 25.0, 45.0,
2020-01-24 10:04:03 , 25.0, 45.0,
2020-01-24 10:05:02 , 25.0, 44.0,
2020-01-24 10:06:02 , 25.0, 45.0,
2020-01-24 10:07:03 , 25.0, 44.0,
2020-01-24 10:08:02 , 25.0, 44.0,
2020-01-24 10:09:05 , 25.0, 45.0,
2020-01-24 10:10:02 , 25.0, 44.0,
2020-01-24 10:11:02 , 25.0, 44.0,
2020-01-24 10:12:02 , 25.0, 44.0,
2020-01-24 10:13:05 , 25.0, 44.0,
2020-01-24 10:14:02 , 25.0, 44.0,
2020-01-24 10:15:03 , 25.0, 44.0,
2020-01-24 10:16:03 , 25.0, 44.0,
2020-01-24 10:17:02 , 25.0, 44.0,
2020-01-24 10:18:03 , 25.0, 44.0,
2020-01-24 10:19:04 , 25.0, 44.0,
2020-01-24 10:20:03 , 25.0, 44.0,
2020-01-24 10:21:02 , 25.0, 44.0,
2020-01-24 10:22:03 , 25.0, 44.0,
2020-01-24 10:23:02 , 25.0, 44.0,
2020-01-24 10:24:10 , 25.0, 44.0,
2020-01-24 10:25:03 , 25.0, 44.0,
2020-01-24 10:26:02 , 25.0, 44.0,
2020-01-24 10:27:04 , 25.0, 44.0,
2020-01-24 10:28:02 , 25.0, 44.0,
2020-01-24 10:29:02 , 25.0, 45.0,
2020-01-24 10:30:03 , 25.0, 45.0,
2020-01-24 10:31:02 , 25.0, 45.0,
2020-01-24 10:32:02 , 25.0, 45.0,
2020-01-24 10:33:05 , 25.0, 45.0,
2020-01-24 10:34:02 , 25.0, 45.0,
2020-01-24 10:35:02 , 25.0, 45.0,
2020-01-24 10:36:03 , 25.0, 45.0,
2020-01-24 10:37:03 , 25.0, 45.0,
2020-01-24 10:38:03 , 25.0, 45.0,
2020-01-24 10:39:03 , 25.0, 45.0,
2020-01-24 10:40:02 , 25.0, 45.0,
2020-01-24 10:41:02 , 25.0, 45.0,
2020-01-24 10:42:03 , 25.0, 45.0,
2020-01-24 10:43:02 , 25.0, 45.0,
