TIMESTAMP, SouthChan1, SouthChan2,
2019-12-11 12:41:03, 0.000, 0.000, 
2019-12-11 12:42:16, 0.000, 0.000, 
2019-12-11 13:15:33, 0.000, 0.000, 
2019-12-11 13:27:08, 0.000, 0.000, 
2019-12-11 13:28:01, 0.000, 0.000, 
2019-12-11 13:37:05, 0.000, 0.000, 
2019-12-11 13:38:05, 0.000, 0.000, 
2019-12-11 13:39:06, 0.000, 0.000, 
2019-12-11 13:40:05, 0.000, 0.000, 
2019-12-11 13:41:06, 0.000, 0.000, 
2019-12-11 13:42:06, 0.000, 0.000, 
2019-12-11 13:43:05, 0.000, 0.000, 
2019-12-11 13:44:06, 0.000, 0.000, 
2019-12-11 13:45:05, 0.000, 0.000, 
2019-12-11 13:46:05, 0.000, 0.000, 
2019-12-11 13:47:06, 0.000, 0.000, 
2019-12-11 13:48:05, 0.000, 0.000, 
2019-12-11 13:49:06, 0.000, 0.000, 
2019-12-11 13:50:06, 0.000, 0.000, 
2019-12-11 13:51:05, 0.000, 0.000, 
2019-12-11 13:52:06, 0.000, 0.000, 
2019-12-11 13:53:05, 0.000, 0.000, 
2019-12-11 13:54:06, 0.000, 0.000, 
2019-12-11 13:55:06, 0.000, 0.000, 
2019-12-11 13:56:05, 0.000, 0.000, 
2019-12-11 13:57:06, 0.000, 0.000, 
2019-12-11 13:58:05, 0.000, 0.000, 
2019-12-11 13:59:05, 0.000, 0.000, 
2019-12-11 14:00:06, 0.000, 0.000, 
2019-12-11 14:01:05, 0.000, 0.000, 
2019-12-11 14:02:06, 0.000, 0.000, 
2019-12-11 14:03:06, 0.000, 0.000, 
2019-12-11 14:04:05, 0.000, 0.000, 
2019-12-11 14:05:06, 0.000, 0.000, 
2019-12-11 14:05:09, 0.000, 0.000, 
2019-12-11 14:11:36, 0.000, 0.000, 
2019-12-11 14:43:06, 0.000, 0.000, 
2020-01-06 13:50:05, 0.854, 0.782, 
2020-01-06 13:55:06, 0.782, 0.711, 
2020-01-06 14:00:06, 0.854, 0.782, 
2020-01-06 14:05:05, 0.996, 0.925, 
2020-01-06 14:10:06, 0.854, 0.782, 
2020-01-06 14:15:06, 0.782, 0.854, 
2020-01-06 14:20:05, 0.854, 0.782, 
2020-01-06 14:25:06, 1.138, 0.925, 
2020-01-06 14:30:06, 0.925, 0.996, 
2020-01-06 14:35:05, 0.711, 0.782, 
2020-01-06 14:40:05, 0.854, 0.782, 
2020-01-06 14:45:06, 0.640, 0.782, 
2020-01-06 14:50:06, 0.782, 0.782, 
2020-01-06 14:55:05, 0.854, 0.782, 
2020-01-06 15:00:05, 0.782, 0.711, 
2020-01-06 15:05:06, 0.996, 0.925, 
2020-01-06 15:10:05, 0.925, 0.925, 
2020-01-06 15:15:05, 0.854, 0.854, 
2020-01-06 15:20:06, 0.711, 0.854, 
2020-01-06 15:25:06, 0.640, 0.854, 
2020-01-06 15:30:05, 0.782, 0.925, 
2020-01-06 15:35:06, 0.782, 0.996, 
2020-01-06 15:40:06, 0.854, 0.782, 
2020-01-06 15:45:05, 0.782, 0.854, 
2020-01-06 15:50:05, 0.854, 0.925, 
2020-01-06 15:55:06, 0.925, 0.925, 
2020-01-06 16:00:06, 0.782, 0.782, 
2020-01-06 16:05:05, 0.854, 0.925, 
2020-01-06 16:10:05, 0.640, 0.854, 
2020-01-06 16:15:06, 0.711, 0.854, 
2020-01-06 16:20:05, 0.782, 0.782, 
2020-01-06 16:25:05, 0.854, 0.925, 
2020-01-06 16:30:06, 0.782, 0.498, 
2020-01-06 16:35:06, 0.925, 0.996, 
2020-01-06 16:40:05, 0.782, 0.925, 
2020-01-06 16:45:05, 1.138, 0.996, 
2020-01-06 16:50:05, 0.925, 1.138, 
2020-01-06 16:55:06, 0.996, 0.854, 
2020-01-06 17:00:06, 0.711, 0.854, 
2020-01-06 17:05:05, 0.854, 0.854, 
2020-01-06 17:10:06, 0.782, 0.854, 
2020-01-06 17:15:06, 0.498, 1.138, 
2020-01-06 17:20:05, 0.711, 0.854, 
2020-01-06 17:25:05, 0.854, 0.854, 
